,lor_position
7,"Assistant Professor, director "
12,"Assistant Professor,
Director Radiology Residency Program"
13,"Assistant Professor of Radiology ,Assistant Residency Program Director "
14,"Assistant Professor of Radiology ,Assistant Residency Program Director "
17,"Assistant Professor , Director"
21,"Program Director ,HMC Assistant Professor of Clinical Radiology"
32,"Assistant Professor,
Director"
33,"Assistant Professor , Director"
36,"Assistant Professor,
Director"
45,Assistant Professor 
48,Assistant Professor
53,"Assistant Professor, director"
56,"Assistant Professor, Co-director"
57,Assistant Professor 
62,"Assistant Professor, director "
68,"Assistant Professor,
Director"
70,"Assistant Professor, director "
72,"Assistant Professor,
Director"
73,"Assistant Professor, director "
74,"Assistant Professor, director "
76,"Assistant Professor,
Director"
77,"Assistant Professor , Director"
78,"Assistant Professor, director "
80,"Assistant Professor,
Director"
84,"Assistant Professor,
Director"
86,Assistant Professor
89,"Assistant Professor , Director"
92,Assistant Professor
93,"Assistant Professor , Director"
100,Assistant Professor
101,"Assistant Professor,head"
110,Assistant Professor
113,"direcetor, assistant professor"
114,"associate program director, assistant professor of radiology"
121,Assistant Professor 
125,"Assistant Professor , Director"
126,Assistant Professor
136,Assistant Professor
140,Assistant Professor
142,"Assistant Professor, director "
144,"director, assistant professor"
145,"assistant professor, chair"
153,Assistant Professor 
157,Assistant Professor 
173,Assistant Professor 
178,Assistant Professor
181,Assistant Professor 
182,"Assistant Professor, director "
188,"director, assistant professor"
194,Assistant Professor
206,"Assistant Professor, director "
216,"director, assistant professor"
220,Assistant Professor
221,"direcetor, assistant professor"
222,"Assistant Professor, director "
225,Assistant Professor 
226,"Assistant Professor, director "
230,Assistant Professor
233,"assistant professor, chair"
236,"director, assistant professor"
240,Assistant Professor
257,Assistant Professor 
261,"Assistant Professor , Director"
264,"Assistant Professor,
Director"
269,Assistant Professor 
272,Assistant Professor
278,"Assistant Professor, director "
280,"Assistant Professor,
Director"
284,"Assistant Professor,
Director"
288,Assistant Professor
290,Assistant Professor
293,Assistant Professor 
297,Assistant Professor 
300,Assistant Professor
306,Assistant Professor
310,Assistant Professor
327,"Assistant Professor, director "
329,"Assistant Professor , Director"
333,"Program Director ,HMC Assistant Professor of Clinical Radiology"
336,"Assistant Professor,
Director"
337,"Assistant Professor , Director"
344,"Assistant Professor, Co-director"
345,Assistant Professor 
348,Assistant Professor
349,"Assistant Professor , Director"
353,"Assistant Professor , Director"
354,Assistant Professor
356,Assistant Professor
360,Assistant Professor
362,"Assistant Professor, director "
370,Assistant Professor
