,lor_position
18,"Consultant,Associate Professor "
38,"Consultant,Associate Professor "
52,"Associate Professor,"
60,Associate Professor
66,"associate professor, director"
81,"Associate Professor, section chief"
116,"program director, associate professor, chief"
132,Associate Professor
148,Associate Professor
149,Associate Professor
154,"associate professor, director"
156,"Associate Professor, chief"
158,"associate professor, director"
189,Associate Professor
197,Associate Professor
229,Associate Professor
241,"Associate Professor,director"
242,"Associate professor, director"
245,"Associate Professor,director"
254,"associate professor, director"
258,"associate professor, director"
260,Associate Professor
265,"Associate Professor, Vice chair"
274,"associate professor, director"
277,"Associate Professor,director"
281,"Associate Professor,director"
286,associate professor
296,"Associate Professor, chief"
298,associate professor
304,"Associate Professor, director"
309,"Associate Professor,director"
330,"Consultant,Associate Professor "
385,"Associate Professor,director"
394,associate professor
408,Associate Professor
425,Associate Professor
428,"Associate Professor,"
429,Associate Professor
440,"Associate Professor, director"
444,Associate Professor
445,Associate Professor
449,"Associate Professor,director"
452,Associate Professor
453,Associate Professor
460,Associate Professor
478,"associate professor, director"
481,Associate Professor
501,Associate Professor
502,associate professor
505,Associate Professor
509,Associate Professor
516,Associate Professor
518,"associate professor, director"
529,"Associate Professor, Director"
530,associate professor
562,associate professor
569,Associate Professor
597,Associate Professor
614,"associate professor, director"
616,"Associate Professor, division"
696,"associate professor,director"
732,"director,section chief,associate professor"
736,"Director,Associate Professor"
745,"associate professor,chief,"
761,"associate professor,Vice Chief,Associate Director"
763,"Associate Professor,Chief "
768,"Associate Professor,Director,"
773,"Associate Professor,Curriculum Chief"
777,"Associate Professor,section chief"
788,"Associate Professor,Vice Chair ,Director"
805,"Co-Director,Medical Director,Clinical Associate Professor "
820,"Director,Associate Professor"
821,"associate professor,director,"
828,"Associate Professor ,director,Section Chief "
833,Clinical Associate Professor
837,"Vice-Chair,Clinical Associate Professor "
842,Associate Professor
844,Associate Professor 
852,Clinical Associate Professor 
854,"Associate Professor ,Director"
859,"Division Head of Neuroradiology,Director,Associate Professor "
860,"Associate Professor,vice chair,director"
863,"director,Associate Professor"
865,"Senior Associate Consultant, Associate Professor "
877,"Associate Professor,"
878,"Associate Professor,Program Director"
881,"Associate Professor ,Division Chief,Vice-Chair "
882,"Program Director ,Associate Professor "
889,"Associate Professor &
Director
"
892,"Associate Professor,section head of neuroradiology,assistant residency program director,"
894,"Associate Professor,Program Director"
901,"Associate Professor,Division Chief"
904,"Associate Professor ,"
907,"Associate Professor ,Radiology Residency Program Director"
911,"Interim Chairman ,Associate Program Director,Associate Professor 
"
912,"Director,Associate Professor "
914,"Residency Program Director ,Associate Professor"
928,"Associate Professor,Division Head,Co Vice-Chair"
941,Associate Professor 
943,"Associate Professor ,Radiology Residency Program Director"
945,"Associate Professor
Division Head ,
Executive Vice-Chair,"
950,Associate Professor
965,Associate Professor 
977,"Associate Professor ,Division "
990,"Associate Professor ,Director"
994,"Associate Professor ,Director"
997,"Associate Professor,Program Director"
1006,"Associate Professor,Associate Program Director"
1010,"Associate Professor ,Director"
1011,"Associate Professor ,director"
1013,"Service Chief,Residency Program Director ,Associate Professor"
1022,"Clinical Associate Professor,section director,Vice Chairman "
1023,"Program Director,associate professor,"
1026,"Associated Program Director,Associate Professor "
1027,"Vice Chair ,Program Director,Associate Professor "
1032,"Associate Professor ,Chairman,Residency Program Director "
1036,associate Professor 
1037,"Associate Professor,Program Director"
1040,"Associate Professor ,Section Chief,Residency Program Director "
1042,"associate professor,chief"
1057,"associate professor,director of MRI Physics"
1060,"director,associate professor"
1079,"clinical associate professor,program director,deputy chief,associate chair"
1090,"Associate Professor ,Director"
1097,"Associate Professor,Director,"
1103,"Associate Program Director ,Associate Professor ,interim chairman"
1105,Clinical Associate Professor 
1112,"Associate Professor,Residency Program Director,section chief"
1114,"Associate Professor, chief"
1118,Associate Professor 
1124,"Associate Professor ,Chief,Residency Program Director"
1125,"Associate Professor ,Associate Residency Program Director"
1130,"associate professor,director"
1140,Associate Professor 
1143,"Residency Program Director ,Associate Professor,service chief"
1152,Associate Professor
1160,"associate professor,associate director,medical director, "
1170,"associate professor,"
1174,"Associate Professor ,"
1184,"Associate Professor ,Chief,Residency Program Director"
1185,"Associate Professor ,Associate Residency Program Director"
1188,"Associate Professor ,"
1189,"Associate Professor,section head,Assistant Residency Program Director "
1190,"Associate Professor ,Program Director "
1193,"Associate Professor ,Director,Vice Chair "
1197,"Associate Residency Program Director, Associate Professor ,Director of Research,"
1202,"Program Director,associate professor"
1209,"Associate Professor ,associate Residency Program Director,medical director"
1224,"Associate Professor ,Vice Chair ,Residency Program Director"
1225,"Associate Professor,"
1226,"Associate Professor,Fellowship Program Director,chief,"
1234,"Associate Professor ,"
1244,"Associate Professor ,Residency Assistant Program Director "
