,counts,percentage
Total number of applicants,241.0,71.72619047619048
Total number of letters,741.0,71.52509652509652
Average number of letters,3.074688796680498,99.71963664909723
Average sentence count per letter,18.483130904183536,100.564695219443
Average word count per letter,343.6842105263158,99.75536998998771
Female,159.0,80.3030303030303
Male,573.0,69.37046004842615
Full professor,131.0,67.87564766839378
Associate professor,137.0,78.73563218390804
Assistant professor,180.0,76.92307692307693
Manager,171.0,71.25
Not applicable/Unknown,122.0,62.56410256410256
