,counts,percentage
Total number of applicants,95.0,28.273809523809522
Total number of letters,295.0,28.474903474903474
Average number of letters,3.1052631578947367,100.71123755334281
Average sentence count per letter,18.11864406779661,98.52981604239824
Average word count per letter,346.64406779661016,100.61983358240238
Female,39.0,19.696969696969695
Male,253.0,30.70388349514563
Full professor,62.0,32.12435233160622
Associate professor,37.0,21.26436781609195
Assistant professor,54.0,23.076923076923077
Not applicable/Unknown,141.0,33.021077283372364
