,counts,percentage
Total number of applicants,261.0,77.67857142857143
Total number of letters,805.0,77.7027027027027
Average number of letters,3.0842911877394634,100.03106554830691
Average sentence count per letter,18.104347826086958,98.45207258320346
Average word count per letter,340.4086956521739,98.80990182304613
Female,142.0,71.71717171717171
Male,655.0,79.49029126213593
Full professor,152.0,78.75647668393782
Associate professor,133.0,76.4367816091954
Assistant professor,170.0,72.64957264957265
Not applicable/Unknown,345.0,80.79625292740047
